RH2M,T2MDEW,QV2M,T2MWET,PS,PSC,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_UV_INDEX,WS50M,WD50M,WSC,LATITUDE,LONGITUDE,Target_Rain
86,24.8,19.97,24.7,995.4,996.6,29.0,31.1,25.3,4.05,15.52,178,4.02,19.08,83.81,1
88,25.4,20.45,25.1,995.1,996.3,29.0,30.8,25.0,3.75,13.23,177,3.43,19.08,83.81,1
89,25.5,20.81,25.4,995.0,996.2,29.1,31.9,25.0,4.36,11.07,140,2.87,19.08,83.81,1
88,25.1,20.43,25.1,995.8,997.0,29.0,30.6,25.4,2.73,11.34,97,2.94,19.08,83.81,1
93,25.1,20.15,24.9,994.3,995.5,27.8,28.1,25.2,1.59,10.94,146,2.83,19.08,83.81,1
85,24.0,18.99,23.8,992.6,993.8,28.3,30.5,24.4,3.57,14.18,185,3.68,19.08,83.81,1
79,23.6,18.7,23.6,992.9,994.1,29.3,33.3,23.2,6.41,17.82,188,4.62,19.08,83.81,0
84,24.9,20.11,24.8,994.4,995.6,29.5,32.8,24.4,6.34,15.93,183,4.13,19.08,83.81,0
85,25.6,20.94,25.5,995.4,996.6,30.0,32.8,25.0,6.14,9.86,156,2.55,19.08,83.81,1
85,26.1,21.68,26.1,995.9,997.1,30.6,33.0,25.5,6.13,7.29,8,1.89,19.08,83.81,0
84,25.7,21.3,25.8,995.8,997.0,30.5,32.8,26.0,4.89,14.58,42,3.78,19.08,83.81,1
89,24.8,19.81,24.6,996.7,997.9,28.3,30.2,24.8,3.58,15.8,144,4.1,19.08,83.81,1
84,24.7,19.69,24.5,997.8,999.0,29.2,31.8,24.8,5.87,20.92,175,5.42,19.08,83.81,0
85,25.1,20.53,25.2,997.6,998.8,29.7,33.3,25.2,5.95,18.09,175,4.69,19.08,83.81,1
85,25.4,20.8,25.4,996.3,997.5,29.9,33.1,25.3,6.14,14.72,182,3.82,19.08,83.81,1
86,25.6,21.06,25.6,995.7,996.9,29.9,32.4,25.6,5.82,15.8,178,4.1,19.08,83.81,1
84,25.7,21.04,25.6,996.2,997.4,30.3,33.2,25.7,5.88,12.15,168,3.15,19.08,83.81,1
84,25.6,20.91,25.5,996.5,997.7,30.2,33.3,25.5,5.97,15.66,198,4.06,19.08,83.81,0
84,25.6,21.05,25.6,995.8,997.0,30.3,33.8,25.9,5.95,15.66,177,4.06,19.08,83.81,1
88,25.5,20.97,25.5,993.5,994.7,29.4,32.4,25.5,4.72,13.37,180,3.46,19.08,83.81,1
86,25.4,20.86,25.4,993.6,994.8,29.7,32.4,25.2,5.8,12.96,187,3.36,19.08,83.81,1
86,25.4,20.7,25.3,995.2,996.4,29.6,32.4,25.2,5.43,10.94,124,2.83,19.08,83.81,1
85,25.1,20.34,25.0,995.1,996.3,29.5,32.1,25.2,5.59,17.82,170,4.62,19.08,83.81,1
87,25.2,20.48,25.1,993.7,994.9,29.2,31.5,25.2,5.35,19.84,187,5.14,19.08,83.81,1
87,25.2,20.48,25.1,994.1,995.3,29.2,30.8,25.3,4.81,13.5,194,3.5,19.08,83.81,1
86,25.2,20.47,25.1,994.5,995.7,29.4,30.8,25.2,5.05,19.31,175,5.0,19.08,83.81,1
83,25.2,20.47,25.1,994.2,995.4,30.0,33.0,25.5,5.62,19.17,162,4.97,19.08,83.81,0
86,25.9,21.5,25.9,992.5,993.7,30.2,33.6,25.8,5.33,15.52,40,4.02,19.08,83.81,0
87,25.5,20.92,25.4,990.5,991.7,29.5,32.3,25.1,5.36,16.88,148,4.38,19.08,83.81,1
89,25.4,20.94,25.4,988.9,990.1,29.1,32.0,25.3,4.04,18.23,49,4.72,19.08,83.81,1
93,25.2,20.52,25.1,988.0,989.2,28.0,28.5,25.4,1.6,12.02,138,3.12,19.08,83.81,1
84,24.9,20.07,24.7,990.3,991.5,29.4,32.4,25.0,5.31,15.66,175,4.06,19.08,83.81,0
82,24.7,19.76,24.5,993.6,994.8,29.6,32.9,24.8,5.21,20.92,178,5.42,19.08,83.81,0
81,25.1,20.41,25.1,995.7,996.9,30.4,33.6,25.5,5.56,16.34,180,4.23,19.08,83.81,0
88,25.5,20.69,25.3,995.1,996.3,29.2,31.5,26.1,3.31,16.47,174,4.27,19.08,83.81,1
90,25.5,20.69,25.3,994.3,995.5,28.8,30.7,25.4,3.28,8.64,139,2.24,19.08,83.81,1
85,25.2,20.58,25.2,994.9,996.1,29.7,32.9,24.7,5.5,9.18,60,2.38,19.08,83.81,0
81,24.6,20.06,24.8,995.2,996.4,30.1,33.3,24.4,6.0,13.1,24,3.39,19.08,83.81,0
80,24.7,19.95,24.7,994.4,995.6,30.2,32.9,25.0,5.65,13.77,25,3.57,19.08,83.81,0
93,24.8,19.81,24.6,993.2,994.4,27.5,27.2,25.0,1.51,13.1,16,3.39,19.08,83.81,1
88,23.2,18.08,23.0,992.8,994.0,26.9,26.9,23.6,1.45,18.5,18,4.79,19.08,83.81,1
85,23.4,18.31,23.2,993.1,994.3,27.7,30.7,22.6,4.28,21.2,23,5.49,19.08,83.81,1
90,24.4,19.5,24.3,993.8,995.0,27.8,30.0,24.1,3.6,13.5,26,3.5,19.08,83.81,1
93,24.8,19.91,24.7,994.3,995.5,27.6,28.9,24.9,2.91,14.31,17,3.71,19.08,83.81,1
91,24.6,19.83,24.6,994.4,995.6,27.9,28.8,24.3,3.09,8.37,19,2.17,19.08,83.81,1
88,24.7,19.73,24.5,995.2,996.4,28.4,30.2,24.9,4.33,12.42,99,3.22,19.08,83.81,1
88,24.6,19.7,24.5,996.7,997.9,28.4,31.0,24.1,4.94,13.77,164,3.57,19.08,83.81,1
87,25.0,20.16,24.9,997.5,998.7,29.0,31.6,24.5,5.12,16.34,172,4.23,19.08,83.81,1
87,25.1,20.28,25.0,997.8,999.0,29.1,32.1,25.0,5.01,13.9,165,3.6,19.08,83.81,1
89,25.3,20.66,25.3,996.4,997.6,29.0,31.8,24.6,4.22,10.8,351,2.8,19.08,83.81,1
84,24.1,19.29,24.1,994.3,995.5,28.8,30.9,24.8,4.32,14.85,9,3.85,19.08,83.81,0
86,24.0,19.0,23.8,992.1,993.3,28.1,29.6,24.8,2.61,22.01,348,5.7,19.08,83.81,1
92,24.2,19.28,24.1,991.4,992.6,27.2,27.8,24.3,2.1,17.42,288,4.51,19.08,83.81,1
92,24.5,19.47,24.3,993.6,994.8,27.4,29.4,23.8,3.47,9.72,195,2.52,19.08,83.81,1
92,24.4,19.45,24.3,994.6,995.8,27.4,28.8,24.2,3.38,9.05,341,2.34,19.08,83.81,1
90,24.5,19.59,24.4,995.2,996.4,27.9,30.1,23.7,4.77,11.74,208,3.04,19.08,83.81,1
89,24.7,19.94,24.7,996.2,997.4,28.4,31.1,24.5,5.0,11.21,279,2.9,19.08,83.81,0
86,24.8,19.95,24.7,996.4,997.6,29.0,32.5,24.3,5.11,13.23,358,3.43,19.08,83.81,0
89,24.8,19.82,24.6,996.1,997.3,28.3,29.6,24.7,3.46,14.72,344,3.82,19.08,83.81,1
87,24.5,19.73,24.5,995.7,996.9,28.6,31.3,24.0,4.76,12.56,322,3.26,19.08,83.81,0
81,24.0,19.03,23.9,995.1,996.3,29.2,32.2,24.7,4.84,21.6,3,5.6,19.08,83.81,0
76,23.2,17.98,23.0,993.3,994.5,29.3,30.8,25.6,2.75,23.49,3,6.09,19.08,83.81,0
77,22.2,17.35,22.4,994.9,996.1,28.5,32.3,22.9,5.79,13.77,63,3.57,19.08,83.81,0
70,20.9,15.9,21.2,997.5,998.7,28.7,32.9,23.2,5.53,12.02,7,3.12,19.08,83.81,0
72,20.7,15.65,20.9,1000.0,1001.2,28.0,31.1,21.2,4.91,14.58,25,3.78,19.08,83.81,0
77,21.8,16.74,21.9,1000.7,1001.9,28.0,31.2,22.1,5.02,14.04,5,3.64,19.08,83.81,0
68,19.3,14.69,20.0,1000.2,1001.4,27.9,32.0,21.6,5.53,12.82,356,3.32,19.08,83.81,0
67,19.0,14.28,19.6,1001.0,1002.2,27.7,31.9,22.1,5.43,12.69,1,3.29,19.08,83.81,0
67,18.6,13.94,19.2,1001.2,1002.4,27.3,31.8,21.4,5.8,13.1,359,3.39,19.08,83.81,0
67,18.2,13.47,18.6,1000.1,1001.3,26.7,31.9,19.8,5.75,15.66,358,4.06,19.08,83.81,0
68,18.6,13.92,19.1,1000.0,1001.2,27.0,32.0,20.0,5.72,13.1,11,3.39,19.08,83.81,0
66,19.5,14.59,20.0,1000.6,1001.8,28.3,32.8,20.7,5.63,14.18,350,3.68,19.08,83.81,0
72,21.5,16.49,21.8,1001.6,1002.8,28.9,32.8,22.9,5.23,10.26,346,2.66,19.08,83.81,0
72,21.3,16.58,21.9,1001.9,1003.1,29.0,32.9,22.9,5.43,12.69,338,3.29,19.08,83.81,0
81,22.3,17.6,22.7,1002.0,1003.2,28.0,32.5,22.8,5.17,8.51,279,2.2,19.08,83.81,1
86,23.1,18.02,23.1,1003.0,1004.2,27.4,30.0,23.3,4.35,13.77,318,3.57,19.08,83.81,0
83,22.6,17.56,22.7,1004.7,1005.9,27.6,30.1,22.5,4.7,7.97,329,2.06,19.08,83.81,0
66,17.6,13.27,18.5,1005.4,1006.6,26.8,31.3,20.1,5.65,16.34,347,4.23,19.08,83.81,0
62,14.5,10.84,15.4,1005.6,1006.8,24.5,30.6,17.3,5.77,12.15,356,3.15,19.08,83.81,0
61,14.5,10.62,15.1,1004.1,1005.3,24.4,29.9,17.0,5.73,13.1,353,3.39,19.08,83.81,0
68,16.7,12.23,17.0,1002.7,1003.9,24.9,30.4,16.5,5.51,11.07,342,2.87,19.08,83.81,0
86,21.6,16.35,21.5,1003.5,1004.7,25.8,28.3,21.7,3.53,12.82,297,3.32,19.08,83.81,1
82,21.6,16.44,21.6,1004.7,1005.9,26.7,30.1,21.2,3.6,9.32,318,2.42,19.08,83.81,0
72,19.0,14.17,19.3,1003.7,1004.9,26.4,32.0,19.9,5.01,11.88,360,3.08,19.08,83.81,0
73,18.7,14.21,19.3,1002.8,1004.0,26.2,32.2,19.3,5.37,13.1,17,3.39,19.08,83.81,0
69,18.8,14.08,19.3,1003.0,1004.2,27.0,32.3,19.2,5.13,12.15,358,3.15,19.08,83.81,0
71,19.8,14.75,20.0,1003.2,1004.4,27.3,31.3,21.7,5.01,13.5,203,3.5,19.08,83.81,0
72,19.6,14.71,19.9,1002.4,1003.6,27.0,31.9,21.5,5.09,10.8,182,2.8,19.08,83.81,0
74,19.1,14.41,19.5,1002.5,1003.7,26.2,32.0,20.0,5.33,15.93,186,4.13,19.08,83.81,0
79,20.2,15.49,20.6,1002.2,1003.4,26.3,31.8,20.7,4.83,12.69,177,3.29,19.08,83.81,0
76,19.7,15.17,20.3,1002.0,1003.2,26.6,32.6,19.9,5.09,13.23,179,3.43,19.08,83.81,0
76,20.6,15.72,20.9,1002.4,1003.6,27.2,31.6,21.2,4.68,10.12,8,2.62,19.08,83.81,0
73,19.9,15.07,20.3,1003.8,1005.0,27.2,30.7,21.8,4.97,9.72,1,2.52,19.08,83.81,0
69,17.3,12.85,17.8,1004.4,1005.6,25.5,29.6,19.3,5.01,10.8,333,2.8,19.08,83.81,0
71,16.5,12.22,16.9,1003.8,1005.0,24.2,29.2,18.0,4.12,10.26,342,2.66,19.08,83.81,0
63,14.2,10.71,15.1,1003.7,1004.9,24.0,29.0,16.8,3.85,12.28,345,3.18,19.08,83.81,0
75,16.6,12.07,16.6,1004.3,1005.5,23.1,25.6,19.5,1.75,13.5,334,3.5,19.08,83.81,1
80,17.7,12.86,17.6,1005.4,1006.6,23.1,24.9,19.3,1.64,20.79,338,5.39,19.08,83.81,1
69,16.6,12.07,16.8,1005.9,1007.1,24.5,28.2,19.6,3.47,13.5,330,3.5,19.08,83.81,0
72,16.8,12.38,17.1,1005.4,1006.6,24.2,29.7,17.5,5.07,10.94,324,2.83,19.08,83.81,0
74,16.4,12.42,17.1,1004.9,1006.1,23.8,29.8,17.2,5.11,12.69,325,3.29,19.08,83.81,0
72,16.5,12.08,16.7,1005.3,1006.5,23.8,28.5,18.2,5.07,10.26,300,2.66,19.08,83.81,0
71,15.6,11.64,16.1,1003.8,1005.0,23.4,29.3,17.2,5.11,11.61,57,3.01,19.08,83.81,0
73,16.2,12.05,16.6,1003.2,1004.4,23.5,29.6,16.3,5.01,12.02,159,3.12,19.08,83.81,0
69,15.6,11.61,16.1,1002.4,1003.6,23.8,29.3,17.3,5.05,13.23,18,3.43,19.08,83.81,0
70,16.0,11.77,16.3,1003.2,1004.4,23.8,29.1,16.7,5.02,12.15,189,3.15,19.08,83.81,0
69,15.4,11.23,15.6,1004.8,1006.0,23.3,28.9,17.3,5.01,11.74,270,3.04,19.08,83.81,0
69,14.9,11.28,15.7,1006.0,1007.2,23.4,30.0,16.6,5.05,12.56,152,3.26,19.08,83.81,0
70,15.5,11.74,16.3,1005.6,1006.8,23.8,30.3,17.2,4.98,10.94,180,2.83,19.08,83.81,0
63,14.7,10.96,15.5,1004.3,1005.5,24.4,30.7,16.6,4.97,11.61,121,3.01,19.08,83.81,0
64,14.2,10.94,15.4,1003.8,1005.0,24.1,30.2,16.2,4.99,11.21,171,2.9,19.08,83.81,0
67,14.7,11.32,15.8,1003.9,1005.1,23.9,30.4,17.7,4.74,12.69,169,3.29,19.08,83.81,0
67,15.1,11.26,15.7,1003.4,1004.6,23.8,30.0,17.6,4.9,12.69,183,3.29,19.08,83.81,0
68,15.5,11.65,16.2,1002.4,1003.6,24.1,30.1,17.5,4.82,10.26,185,2.66,19.08,83.81,0
72,17.1,12.87,17.7,1003.0,1004.2,24.8,30.5,18.3,4.75,16.07,178,4.16,19.08,83.81,0
77,18.5,13.83,18.8,1004.9,1006.1,24.9,29.3,19.5,3.79,18.5,198,4.79,19.08,83.81,0
72,17.3,12.99,17.9,1005.6,1006.8,25.0,30.2,17.8,4.66,16.74,179,4.34,19.08,83.81,0
69,17.2,12.92,17.9,1004.9,1006.1,25.6,31.1,19.3,4.68,18.23,168,4.72,19.08,83.81,0
69,17.0,12.61,17.5,1005.0,1006.2,25.2,29.6,19.3,4.25,9.72,10,2.52,19.08,83.81,0
60,12.9,10.17,14.5,1005.9,1007.1,24.0,29.6,16.6,4.93,14.31,358,3.71,19.08,83.81,0
57,10.5,8.7,12.2,1006.3,1007.5,22.3,28.3,12.9,5.06,11.61,35,3.01,19.08,83.81,0
52,8.2,7.56,10.4,1004.9,1006.1,21.5,28.4,12.7,5.12,12.82,72,3.32,19.08,83.81,0
59,9.9,8.43,11.5,1004.2,1005.4,21.2,27.8,14.3,5.09,12.02,140,3.12,19.08,83.81,0
59,10.5,8.54,11.7,1003.4,1004.6,21.4,27.5,14.1,5.03,11.61,184,3.01,19.08,83.81,0
65,11.3,9.42,12.9,1002.9,1004.1,21.4,28.6,13.4,5.01,12.82,146,3.32,19.08,83.81,0
69,13.2,10.37,14.3,1003.5,1004.7,22.0,28.7,15.2,4.93,12.42,140,3.22,19.08,83.81,0
66,13.6,10.22,14.2,1004.4,1005.6,22.5,28.5,15.4,4.95,9.86,157,2.55,19.08,83.81,0
69,13.5,10.57,14.6,1003.4,1004.6,22.3,28.8,15.8,5.02,10.8,148,2.8,19.08,83.81,0
71,13.6,10.55,14.5,1003.2,1004.4,21.8,28.8,15.0,4.91,12.56,162,3.26,19.08,83.81,0
68,13.7,10.61,14.7,1003.5,1004.7,22.6,29.5,15.1,4.94,12.82,160,3.32,19.08,83.81,0
68,14.3,10.8,15.0,1004.4,1005.6,22.9,28.8,16.0,4.88,12.69,175,3.29,19.08,83.81,0
69,14.4,10.82,15.0,1004.8,1006.0,22.7,28.1,16.3,4.87,11.07,200,2.87,19.08,83.81,0
69,14.4,10.81,15.0,1005.3,1006.5,22.7,28.7,15.4,4.9,14.18,215,3.68,19.08,83.81,0
68,14.3,10.79,15.0,1004.9,1006.1,22.9,29.3,16.0,4.95,11.34,178,2.94,19.08,83.81,0
70,14.5,10.99,15.2,1003.5,1004.7,22.7,29.1,15.5,4.97,18.76,195,4.86,19.08,83.81,0
69,14.1,10.9,15.1,1003.9,1005.1,22.8,29.4,15.1,4.99,14.85,207,3.85,19.08,83.81,0
65,13.8,10.84,15.2,1004.0,1005.2,23.7,30.5,15.4,4.76,17.28,192,4.48,19.08,83.81,0
58,13.4,10.67,15.4,1002.6,1003.8,25.3,31.6,16.9,4.17,15.52,161,4.02,19.08,83.81,0
61,15.4,11.8,16.8,1001.2,1002.4,26.1,31.5,19.7,4.19,15.26,144,3.96,19.08,83.81,0
57,13.2,10.7,15.5,1001.0,1002.2,25.6,32.7,17.8,4.98,18.09,177,4.69,19.08,83.81,0
54,12.3,9.88,14.5,1001.8,1003.0,25.2,32.5,17.2,5.07,14.58,177,3.78,19.08,83.81,0
56,13.6,10.69,15.6,1001.7,1002.9,25.9,33.1,18.4,5.0,11.21,168,2.9,19.08,83.81,0
54,13.8,10.68,15.8,1002.6,1003.8,26.5,33.3,18.9,4.97,15.66,171,4.06,19.08,83.81,0
53,13.4,10.54,15.7,1002.9,1004.1,26.6,33.0,20.2,5.11,12.15,155,3.15,19.08,83.81,0
62,15.5,11.84,16.8,1002.6,1003.8,25.9,31.7,18.9,5.03,12.82,151,3.32,19.08,83.81,0
66,15.7,12.23,17.1,1002.5,1003.7,25.4,31.2,18.2,5.13,11.88,104,3.08,19.08,83.81,0
66,15.8,11.95,16.7,1001.7,1002.9,25.0,30.6,18.1,5.01,13.64,103,3.53,19.08,83.81,0
60,12.4,10.6,15.1,1000.8,1002.0,24.6,30.8,16.9,5.36,14.85,93,3.85,19.08,83.81,0
70,17.0,12.98,17.9,1002.8,1004.0,25.4,31.0,19.5,5.01,21.2,176,5.49,19.08,83.81,0
71,16.5,12.52,17.3,1003.9,1005.1,24.6,29.8,18.9,4.87,26.33,165,6.82,19.08,83.81,0
68,15.5,12.08,16.8,1002.4,1003.6,24.7,31.3,17.2,5.1,15.12,160,3.92,19.08,83.81,0
64,16.0,12.6,17.7,1002.1,1003.3,26.4,33.5,17.6,5.18,16.34,162,4.23,19.08,83.81,0
60,16.1,12.17,17.4,1001.7,1002.9,26.9,32.1,19.7,4.44,18.5,109,4.79,19.08,83.81,0
68,16.9,13.15,18.2,1002.6,1003.8,26.1,32.3,18.6,5.09,21.33,144,5.53,19.08,83.81,0
71,17.9,13.66,18.7,1002.4,1003.6,26.0,31.0,19.3,4.72,23.36,128,6.06,19.08,83.81,0
67,17.4,13.59,18.8,1002.7,1003.9,26.9,32.5,20.8,5.15,25.65,136,6.65,19.08,83.81,0
69,17.8,13.66,18.8,1003.2,1004.4,26.5,32.4,18.8,5.07,22.54,176,5.84,19.08,83.81,0
70,18.1,14.04,19.2,1002.8,1004.0,26.7,31.9,19.6,5.07,20.92,168,5.42,19.08,83.81,0
71,18.4,14.23,19.4,1003.5,1004.7,26.7,31.6,20.2,4.59,25.24,170,6.54,19.08,83.81,0
73,18.9,14.36,19.5,1004.3,1005.5,26.4,31.2,21.0,4.49,24.57,178,6.37,19.08,83.81,0
69,18.2,13.73,18.9,1004.1,1005.3,26.6,31.2,20.7,4.63,24.98,168,6.48,19.08,83.81,0
73,18.4,13.77,18.8,1003.8,1005.0,25.7,28.9,20.0,4.41,13.37,179,3.46,19.08,83.81,0
63,15.5,11.72,16.6,1004.9,1006.1,25.5,31.1,19.8,5.29,22.82,174,5.91,19.08,83.81,0
61,13.2,10.72,15.3,1006.8,1008.0,24.6,30.4,17.7,5.61,13.1,56,3.39,19.08,83.81,0
52,8.1,8.69,12.7,1006.9,1008.1,23.8,31.4,15.2,5.85,15.66,32,4.06,19.08,83.81,0
50,8.2,8.36,12.3,1006.1,1007.3,23.8,31.4,15.7,5.91,16.6,307,4.3,19.08,83.81,0
52,9.2,8.65,12.6,1005.6,1006.8,23.7,30.9,14.6,5.89,23.76,233,6.16,19.08,83.81,0
56,11.0,9.56,13.8,1004.6,1005.8,24.1,30.9,15.9,5.89,20.66,216,5.36,19.08,83.81,0
51,9.2,8.76,12.9,1003.5,1004.7,24.2,31.7,14.5,5.91,16.6,83,4.3,19.08,83.81,0
52,10.3,9.04,13.3,1004.6,1005.8,24.4,31.3,15.3,5.87,16.74,20,4.34,19.08,83.81,0
53,9.9,9.09,13.3,1005.5,1006.7,24.2,31.4,16.3,6.05,14.99,360,3.88,19.08,83.81,0
55,9.8,9.51,13.8,1004.3,1005.5,24.3,31.9,16.3,6.05,18.09,219,4.69,19.08,83.81,0
56,11.5,10.0,14.5,1002.6,1003.8,24.8,32.5,16.2,6.05,19.84,179,5.14,19.08,83.81,0
57,12.2,10.62,15.4,1002.3,1003.5,25.5,33.7,15.6,6.09,25.65,156,6.65,19.08,83.81,0
59,13.0,11.12,16.0,1003.2,1004.4,25.7,33.1,17.1,5.81,22.82,178,5.91,19.08,83.81,0
57,13.5,10.86,15.8,1003.8,1005.0,25.9,32.6,18.3,6.04,22.14,169,5.74,19.08,83.81,0
53,12.6,10.6,15.8,1003.2,1004.4,26.7,34.3,18.6,5.99,18.9,114,4.9,19.08,83.81,0
54,13.6,11.08,16.4,1002.1,1003.3,27.1,34.1,19.3,5.97,22.41,74,5.81,19.08,83.81,0
52,13.3,10.99,16.5,1001.5,1002.7,27.6,34.3,19.7,6.07,15.66,171,4.06,19.08,83.81,0
56,14.5,11.55,16.9,1002.5,1003.7,27.2,33.5,19.6,5.57,19.17,174,4.97,19.08,83.81,0
61,16.0,12.2,17.4,1004.4,1005.6,26.7,32.0,19.6,5.29,17.14,157,4.44,19.08,83.81,0
55,13.9,10.91,16.1,1005.4,1006.6,26.6,32.7,19.2,5.54,27.4,212,7.1,19.08,83.81,0
59,15.5,11.16,16.1,1005.8,1007.0,25.8,28.7,21.0,3.05,12.69,225,3.29,19.08,83.81,0
51,12.9,10.12,15.3,1005.2,1006.4,26.6,32.4,19.1,5.76,21.33,205,5.53,19.08,83.81,0
43,10.3,8.74,14.1,1004.3,1005.5,27.0,33.9,18.9,6.31,21.06,75,5.46,19.08,83.81,0
40,9.7,8.49,14.2,1002.5,1003.7,27.7,34.8,20.1,6.36,15.12,141,3.92,19.08,83.81,0
42,10.9,9.36,15.4,1001.2,1002.4,28.5,35.5,20.7,6.39,15.26,144,3.96,19.08,83.81,0
48,12.5,11.03,17.1,1000.2,1001.4,29.0,37.2,19.3,6.44,17.96,100,4.66,19.08,83.81,0
48,13.6,11.66,18.0,998.4,999.6,29.9,37.7,20.4,6.39,24.57,109,6.37,19.08,83.81,0
40,11.4,10.05,17.0,997.9,999.1,30.5,38.4,22.1,6.17,14.31,74,3.71,19.08,83.81,0
47,13.0,11.54,18.0,999.2,1000.4,30.1,38.1,21.0,6.5,29.56,123,7.66,19.08,83.81,0
54,15.2,13.01,19.1,1001.6,1002.8,29.8,37.2,21.1,4.92,15.93,121,4.13,19.08,83.81,0
39,11.4,9.88,17.0,1001.5,1002.7,30.7,38.4,22.7,6.21,23.09,60,5.98,19.08,83.81,0
40,10.6,9.56,16.2,1001.6,1002.8,29.7,37.4,20.2,6.67,25.65,103,6.65,19.08,83.81,0
43,11.3,10.15,16.6,1002.0,1003.2,29.5,37.4,20.7,6.67,21.87,152,5.67,19.08,83.81,0
42,11.7,10.16,16.8,1001.7,1002.9,29.9,38.0,20.8,6.58,22.68,160,5.88,19.08,83.81,0
33,9.2,8.26,15.6,1001.3,1002.5,30.5,38.8,20.1,6.57,14.18,283,3.68,19.08,83.81,0
38,9.9,9.51,16.6,1001.5,1002.7,30.5,37.9,21.9,6.72,23.9,129,6.19,19.08,83.81,0
56,16.0,13.48,19.5,1002.4,1003.6,29.8,37.9,20.5,6.63,25.92,171,6.72,19.08,83.81,0
59,16.6,13.96,19.8,1002.6,1003.8,29.5,37.5,20.3,6.18,19.98,172,5.18,19.08,83.81,0
52,15.8,12.74,19.0,1002.1,1003.3,30.1,37.3,21.4,5.92,19.84,161,5.14,19.08,83.81,0
55,17.3,13.79,20.0,1002.3,1003.5,30.5,37.1,22.6,5.41,25.52,167,6.61,19.08,83.81,0
55,16.9,13.78,20.0,1003.5,1004.7,30.5,37.1,22.3,5.88,18.5,179,4.79,19.08,83.81,0
56,16.2,13.31,19.3,1003.6,1004.8,29.6,36.5,21.1,6.3,19.98,95,5.18,19.08,83.81,0
61,18.5,14.96,20.8,1002.0,1003.2,30.1,36.2,22.6,6.14,22.41,159,5.81,19.08,83.81,0
59,18.3,14.91,20.9,1000.9,1002.1,30.6,36.0,23.0,5.72,20.92,175,5.42,19.08,83.81,0
49,15.4,12.74,19.4,1000.4,1001.6,31.1,38.3,22.4,6.6,24.7,133,6.4,19.08,83.81,0
52,16.1,13.3,19.7,999.8,1001.0,30.8,38.1,21.4,6.27,29.56,153,7.66,19.08,83.81,0
49,15.7,12.59,19.2,1000.2,1001.4,30.9,37.3,22.7,5.62,23.9,170,6.19,19.08,83.81,0
42,13.8,11.04,18.2,999.5,1000.7,31.3,37.9,22.9,6.11,14.04,146,3.64,19.08,83.81,0
41,14.4,10.92,18.2,998.3,999.5,31.5,37.5,23.3,6.01,19.17,24,4.97,19.08,83.81,0
44,15.2,12.14,19.4,998.1,999.3,32.1,38.5,24.6,6.35,17.55,95,4.55,19.08,83.81,0
47,16.4,13.02,20.1,1000.2,1001.4,32.2,38.5,23.4,4.96,21.74,150,5.64,19.08,83.81,0
42,14.9,12.23,20.0,1001.0,1002.2,33.1,39.5,25.1,6.67,23.76,159,6.16,19.08,83.81,0
39,13.9,11.03,18.9,1000.8,1002.0,32.6,39.0,25.0,6.47,25.38,108,6.58,19.08,83.81,0
42,14.7,11.84,19.4,999.5,1000.7,32.5,38.5,24.1,6.01,21.06,123,5.46,19.08,83.81,0
43,15.8,12.27,19.8,999.0,1000.2,32.7,39.2,24.7,6.45,16.74,135,4.34,19.08,83.81,0
52,17.9,14.27,20.9,998.6,999.8,32.0,39.4,23.9,6.03,26.19,176,6.79,19.08,83.81,0
55,18.5,15.12,21.5,997.4,998.6,32.0,38.2,23.9,6.39,24.44,174,6.34,19.08,83.81,0
54,17.8,15.3,21.8,996.3,997.5,32.5,39.8,24.4,6.5,19.98,159,5.18,19.08,83.81,0
55,19.0,15.99,22.4,993.4,994.6,32.9,41.3,23.5,6.26,23.36,152,6.06,19.08,83.81,0
53,16.8,15.98,22.6,991.4,992.6,33.5,42.5,23.5,7.2,16.74,241,4.34,19.08,83.81,0
49,16.1,14.5,21.5,992.1,993.3,33.2,40.4,24.3,7.24,27.54,118,7.14,19.08,83.81,0
63,21.6,18.33,24.0,994.1,995.3,32.9,39.7,26.4,6.25,26.6,158,6.9,19.08,83.81,0
67,22.8,18.37,23.8,996.6,997.8,31.9,37.6,26.3,5.98,28.76,183,7.46,19.08,83.81,0
62,20.3,17.26,23.1,997.7,998.9,32.2,39.6,25.1,6.57,25.38,174,6.58,19.08,83.81,0
63,20.4,16.92,22.7,999.3,1000.5,31.6,37.8,24.2,6.34,26.33,167,6.82,19.08,83.81,0
63,20.5,16.72,22.5,999.4,1000.6,31.4,38.0,23.3,6.41,22.28,170,5.78,19.08,83.81,0
63,20.7,17.21,23.0,999.6,1000.8,31.9,38.8,23.8,6.63,23.36,169,6.06,19.08,83.81,0
65,22.3,17.79,23.4,997.9,999.1,31.9,38.1,25.0,6.02,23.22,168,6.02,19.08,83.81,0
67,22.4,17.7,23.2,998.6,999.8,31.3,36.4,25.4,5.53,19.04,175,4.93,19.08,83.81,0
68,22.4,17.63,23.1,1000.5,1001.7,31.0,36.6,25.1,5.95,26.6,188,6.9,19.08,83.81,0
66,22.0,17.29,22.9,1001.2,1002.4,31.2,35.4,24.9,5.48,15.93,174,4.13,19.08,83.81,0
64,21.6,16.75,22.5,1001.7,1002.9,31.2,37.2,25.3,6.12,20.66,129,5.36,19.08,83.81,0
